Probe_ID,logFC,AveExpr,t,P.Value,adj.P.Val,B,Gene_Symbol
220434_at,-0.028927536,4.001023715,-0.725647021,0.468723969,0.738299078,-5.742570806,COQ8B
206031_s_at,-0.036789855,6.042205534,-0.725573635,0.468768891,0.738317632,-5.742620873,USP5
218549_s_at,0.062711957,8.417304348,0.725408126,0.468870215,0.73842501,-5.742733773,RMDN1
204610_s_at,-0.045762681,7.375166008,-0.725340098,0.468911864,0.738425238,-5.74278017,CCDC85B
212841_s_at,-0.065476449,7.646735178,-0.725298363,0.468937418,0.738425238,-5.742808632,PPFIBP2
205790_at,-0.075913043,5.633296443,-0.724911716,0.469174186,0.738694844,-5.743072238,SKAP1
205894_at,0.044878623,4.62698419,0.724744841,0.469276395,0.738751343,-5.743185966,ARSL
219818_s_at,0.039208333,6.989470356,0.724309239,0.469543254,0.739069341,-5.743482714,GPATCH1
204298_s_at,0.099947464,5.989992095,0.724306798,0.46954475,0.739069341,-5.743484376,LOX
208662_s_at,-0.062956522,10.696917,-0.723866344,0.469814667,0.739183467,-5.743784246,TTC3
205781_at,-0.040059783,6.631612648,-0.723863607,0.469816345,0.739183467,-5.743786109,VPS9D1
201081_s_at,0.054775362,5.569264822,0.723756927,0.469881733,0.739203426,-5.743858712,PIP4K2B
220445_s_at,0.108478261,4.309150198,0.723209397,0.470217416,0.739538775,-5.744231173,CSAG3
222239_s_at,0.044210145,6.882252964,0.723170352,0.470241359,0.739538775,-5.744257723,INTS6
222239_s_at,0.044210145,6.882252964,0.723170352,0.470241359,0.739538775,-5.744257723,INTS6P1
221410_x_at,0.052501812,5.540324111,0.722795702,0.470471135,0.739743469,-5.744512406,PCDHB2
221410_x_at,0.052501812,5.540324111,0.722795702,0.470471135,0.739743469,-5.744512406,PCDHB3
221026_s_at,0.01898913,3.768711462,0.722586294,0.470599593,0.739841011,-5.744654701,SCRT1
220975_s_at,0.039956522,6.30872332,0.722356045,0.470740859,0.73987567,-5.744811112,C1QTNF1
205388_at,-0.03367029,4.32515415,-0.722335303,0.470753586,0.73987567,-5.7448252,TNNC2
221233_s_at,0.017255435,3.094189723,0.722239765,0.470812209,0.73987567,-5.744890083,FAM135A
221224_s_at,-0.030393116,4.587205534,-0.722194898,0.470839742,0.73987567,-5.744920551,DCAKD
210503_at,-0.022532609,3.284343874,-0.722160765,0.470860689,0.73987567,-5.744943729,MAGEA11
217400_at,0.016592391,3.314019763,0.722119026,0.470886303,0.73987567,-5.744972069,PCNAP3
212422_at,0.041934783,7.23315415,0.722053227,0.470926684,0.73987567,-5.745016743,PDCD11
214088_s_at,0.063523551,5.645264822,0.722009103,0.470953764,0.73987567,-5.745046699,FUT3
203367_at,0.058501812,7.844612648,0.721839933,0.471057597,0.739986608,-5.745161531,DUSP14
213652_at,-0.101925725,6.409533597,-0.721641148,0.471179623,0.740126108,-5.745296432,PCSK5
207272_at,0.019320652,3.02612253,0.721504438,0.471263554,0.740205753,-5.745389185,ZNF80
215570_s_at,-0.020634058,3.431339921,-0.720661766,0.471781081,0.740809695,-5.745960525,ZNF780A
207452_s_at,-0.018817029,3.507351779,-0.720417514,0.471931148,0.740897106,-5.746126006,CNTN5
207593_at,-0.026311594,4.591758893,-0.720025376,0.47217213,0.741133644,-5.746391564,ABCG4
205013_s_at,0.077916667,6.440391304,0.720001181,0.472187001,0.741133644,-5.746407943,ADORA2A
205013_s_at,0.077916667,6.440391304,0.720001181,0.472187001,0.741133644,-5.746407943,SPECC1L-ADORA2A
220477_s_at,-0.079931159,8.801102767,-0.719742397,0.472346072,0.741278862,-5.746583108,TMEM230
220477_s_at,-0.079931159,8.801102767,-0.719742397,0.472346072,0.741278862,-5.746583108,TMEM230P2
210082_at,-0.051673913,4.475885375,-0.719534285,0.472474018,0.741427423,-5.746723929,ABCA4
218139_s_at,-0.038306159,8.873438735,-0.71925939,0.47264305,0.741588198,-5.746909877,AP5M1
204048_s_at,0.066277174,8.882450593,0.718861579,0.472887723,0.741763118,-5.747178843,PHACTR2
213887_s_at,-0.051251812,8.088158103,-0.718579763,0.473061095,0.741844368,-5.747369293,POLR2E
205827_at,0.032835145,3.957395257,0.71835582,0.47319889,0.741844368,-5.747520581,CCK
206410_at,-0.029432971,5.493652174,-0.718344382,0.473205928,0.741844368,-5.747528306,NR0B2
