Probe_ID,logFC,AveExpr,t,P.Value,adj.P.Val,B,Gene_Symbol
209623_at,1.064824685,11.34911574,13.28290694,1.63E-32,5.10E-30,63.11872618,MCCC2
218497_s_at,-0.532148422,10.21081865,-13.27161631,1.80E-32,5.59E-30,63.0218761,RNASEH1
209024_s_at,-0.843312805,10.39602477,-13.26425371,1.92E-32,5.93E-30,62.95873338,SYNCRIPP1
226358_at,0.818637262,8.567692353,13.26190827,1.96E-32,6.01E-30,62.93862068,APH1B
235721_at,0.754604546,9.529653629,13.25442052,2.09E-32,6.38E-30,62.87441866,DTX3
203763_at,0.580205205,9.932828321,13.23863012,2.40E-32,7.28E-30,62.73906252,DYNC2LI1
216237_s_at,-0.819186735,9.915912969,-13.22689224,2.66E-32,8.01E-30,62.63847584,MCM5
203071_at,2.26322912,7.673460916,13.21948341,2.83E-32,8.50E-30,62.57500016,SEMA3B
219687_at,0.843748806,8.437394148,13.21480238,2.95E-32,8.80E-30,62.53490065,HHAT
219634_at,-1.117923401,7.736595912,-13.20031342,3.34E-32,9.87E-30,62.4108093,CHST11
228680_at,0.637926313,9.274976919,13.19304254,3.56E-32,1.03E-29,62.34855291,KIF3A
205681_at,-1.571496154,8.280193937,-13.16443712,4.56E-32,1.32E-29,62.10372102,BCL2A1
226184_at,-0.937168605,9.765537725,-13.15148567,5.10E-32,1.47E-29,61.99292318,FMNL2
223126_s_at,1.313815676,9.094524604,13.13641653,5.82E-32,1.66E-29,61.86405034,C1orf21
1552632_a_at,1.297669073,7.947669748,13.112809,7.13E-32,2.03E-29,61.66224673,ARSG
238992_at,0.926696244,8.688336689,13.10890433,7.38E-32,2.09E-29,61.62887922,POLI
228554_at,2.830249162,9.733352169,13.10422248,7.68E-32,2.16E-29,61.58887432,PGR
212970_at,0.722588437,10.25885572,13.09796431,8.11E-32,2.27E-29,61.53540703,APBB2
202227_s_at,0.527118911,11.25600999,13.09299035,8.47E-32,2.36E-29,61.4929171,BRD8
235800_at,0.72140422,7.970585655,13.08596823,9.00E-32,2.49E-29,61.43293931,HSPA12A
208873_s_at,0.816594701,12.23908857,13.08500092,9.07E-32,2.50E-29,61.42467801,REEP5
225468_at,-0.579066443,9.304543447,-13.08151305,9.35E-32,2.55E-29,61.39489157,PATL1
241782_at,1.090136613,7.804389367,13.07513689,9.88E-32,2.67E-29,61.34044531,NEBL
212980_at,0.794999085,9.785290227,13.0712685,1.02E-31,2.75E-29,61.30741701,AHSA2P
1552733_at,0.736298348,8.932087125,13.06768603,1.05E-31,2.82E-29,61.27683261,KLHDC1
228994_at,2.004822802,7.379186244,13.04154137,1.32E-31,3.50E-29,61.05370765,CCDC24
225520_at,-0.99041681,9.261975983,-13.02998261,1.46E-31,3.85E-29,60.95510653,MTHFD1L
204533_at,-1.875142835,11.17060129,-13.02944763,1.47E-31,3.85E-29,60.95054358,CXCL10
226992_at,1.393190433,9.183411407,13.01990947,1.59E-31,4.14E-29,60.8692006,NOSTRIN
221856_s_at,0.894244118,9.724824862,12.98622454,2.13E-31,5.49E-29,60.58207902,MINDY1
207414_s_at,1.854412428,8.756459627,12.98466074,2.16E-31,5.54E-29,60.56875533,PCSK6
207571_x_at,-0.866250428,8.945141381,-12.97302633,2.39E-31,6.06E-29,60.46964463,THEMIS2
238656_at,0.673840999,9.270329705,12.94936455,2.93E-31,7.37E-29,60.26816238,RAD50
205862_at,2.399595317,9.789809059,12.94260427,3.10E-31,7.74E-29,60.21061934,GREB1
227458_at,-1.153460459,8.177508913,-12.94041076,3.16E-31,7.85E-29,60.19195042,CD274
224318_s_at,0.45993704,11.0048737,12.91699842,3.87E-31,9.52E-29,59.99275079,KANSL3
202815_s_at,0.730467173,9.13036317,12.91123695,4.06E-31,9.95E-29,59.94374804,HEXIM1
229437_at,-1.340835149,8.295464838,-12.90157711,4.42E-31,1.08E-28,59.86160425,MIR155HG
229437_at,-1.340835149,8.295464838,-12.90157711,4.42E-31,1.08E-28,59.86160425,MIR155
227966_s_at,2.326294314,9.464727608,12.89724363,4.58E-31,1.11E-28,59.82476033,CCDC74B
227966_s_at,2.326294314,9.464727608,12.89724363,4.58E-31,1.11E-28,59.82476033,CCDC74A
203604_at,0.963410206,8.595499233,12.88924009,4.91E-31,1.19E-28,59.75672344,ZNF516
208627_s_at,-0.731235101,12.53123176,-12.88691718,5.01E-31,1.21E-28,59.73697927,YBX1P10
210029_at,-1.769809758,8.387037336,-12.87599179,5.50E-31,1.32E-28,59.64413147,IDO1
208092_s_at,-0.824558327,7.741275862,-12.8734132,5.63E-31,1.34E-28,59.62222135,CYRIA
221823_at,1.069862662,9.871376073,12.87032537,5.78E-31,1.37E-28,59.5959862,MACIR
1562815_at,1.15272193,6.584221031,12.86368227,6.12E-31,1.45E-28,59.53955121,EFCAB6
229625_at,-1.414699563,8.30019449,-12.85689641,6.49E-31,1.52E-28,59.4819131,GBP5
231319_x_at,0.927300129,9.822842882,12.85655841,6.51E-31,1.52E-28,59.47904251,KIF9
235938_at,0.825395617,8.685063435,12.85453435,6.62E-31,1.54E-28,59.46185249,ARMC9
228810_at,-0.738556999,7.963962553,-12.84741238,7.04E-31,1.62E-28,59.40137371,CCNYL1
204116_at,-1.427979173,9.366929348,-12.83882572,7.58E-31,1.74E-28,59.32847147,IL2RG
212721_at,0.472015448,11.67642617,12.83269798,7.99E-31,1.83E-28,59.27645555,SREK1
223479_s_at,0.614999904,9.497873089,12.83179059,8.05E-31,1.83E-28,59.26875376,CHCHD5
223361_at,-0.936122239,11.32083409,-12.80696565,9.96E-31,2.26E-28,59.05811253,ABRACL
214053_at,2.158748941,8.881473695,12.79612407,1.09E-30,2.47E-28,58.96616276,ERBB4
