Probe_ID,logFC,AveExpr,t,P.Value,adj.P.Val,B,Gene_Symbol
210386_s_at,0.539893125,8.649817634,3.751621897,0.000290773,0.156451609,0.210639648,MTX1
210386_s_at,0.539893125,8.649817634,3.751621897,0.000290773,0.156451609,0.210639648,MTX1LP
200869_at,0.805183197,9.840946079,3.750137376,0.00029229,0.156451609,0.20624055,RPL18A
200869_at,0.805183197,9.840946079,3.750137376,0.00029229,0.156451609,0.20624055,RPL18AP3
216680_s_at,0.491381034,5.884733915,3.74633092,0.000296215,0.156451609,0.194966675,EPHB4
205361_s_at,0.443752663,9.273821492,3.74500484,0.000297594,0.156451609,0.191041091,PFDN4
212299_at,-0.517012919,7.958462296,-3.729755365,0.000313899,0.158558853,0.145971584,NEK9
1553099_at,0.670288967,5.716566176,3.727893916,0.000315946,0.158558853,0.140479367,TIGD1
61297_at,0.240961133,3.292696015,3.726534704,0.000317449,0.158558853,0.13647028,CASKIN2
218965_s_at,0.304892947,5.807263315,3.724807722,0.000319368,0.158558853,0.131377984,TUT1
202871_at,0.636532887,7.86159347,3.723079113,0.000321301,0.158558853,0.126282627,TRAF4
225747_at,-0.64229916,4.480177888,-3.723076852,0.000321303,0.158558853,0.126275963,COQ10A
229356_x_at,0.287343255,7.228726343,3.717290151,0.000327853,0.158558853,0.109231416,INO80
231903_x_at,0.195379627,3.191754507,3.716181007,0.000329122,0.158558853,0.105966697,ARHGAP23
1563708_at,-0.188412403,2.692488032,-3.714888874,0.000330608,0.158558853,0.102164263,SFXN5
214595_at,0.717822559,2.886174925,3.714724157,0.000330797,0.158558853,0.101679612,KCNG1
228346_at,-0.793256472,4.956445032,-3.711174352,0.000334912,0.158558853,0.091238764,ZNF844
210242_x_at,0.226967682,7.090116914,3.709898839,0.000336403,0.158558853,0.087488966,ST20
229507_at,0.269853021,4.497072318,3.6948779,0.000354435,0.163644541,0.043401541,INKA1
232297_at,-0.802132529,5.459883163,-3.694409999,0.000355012,0.163644541,0.042030347,KLHL5
230249_at,0.242784727,2.624081499,3.690740933,0.000359561,0.163824854,0.031282517,KHDRBS3
228074_at,0.176001003,2.933977424,3.678556619,0.000375067,0.169477756,-0.004352329,ITPRIPL2
224850_at,-0.616000929,8.48152121,-3.674118396,0.000380872,0.170689865,-0.017310852,ATAD1
212195_at,-0.984215665,11.64320348,-3.662654916,0.000396261,0.175103193,-0.050727609,IL6ST
209005_at,-0.517041622,6.581668654,-3.654158169,0.000408045,0.175825371,-0.07544601,FBXL5
225933_at,0.553354527,5.62089134,3.653898768,0.00040841,0.175825371,-0.076199975,CCDC137
205164_at,0.660923595,6.35153162,3.650315757,0.000413483,0.176618515,-0.086610156,GCAT
236027_at,-0.460610279,7.336171572,-3.644989089,0.000421134,0.178492464,-0.102072329,SFR1
208632_at,-0.531705022,5.955154606,-3.638533206,0.000430588,0.179858483,-0.120789777,RNF10
226070_at,0.431304587,6.043496358,3.635706477,0.00043479,0.180092188,-0.12897747,PAXX
235152_at,-0.54612939,5.935777035,-3.631549699,0.000441041,0.180238242,-0.141009042,FAM111A-DT
202962_at,-0.913682707,6.7786613,-3.626062638,0.000449421,0.181194322,-0.15687528,KIF13B
218487_at,-0.560332845,6.549800239,-3.625201942,0.00045075,0.181194322,-0.159362416,ALAD
213668_s_at,0.671979393,8.904227407,3.623092007,0.000454021,0.181194322,-0.165457582,SOX4
206578_at,0.186658867,2.431803479,3.618493811,0.00046123,0.181422525,-0.178731612,NKX2-5
227846_at,-0.622268669,4.778144637,-3.602178227,0.00048769,0.190460396,-0.225729222,GPR176
206709_x_at,0.188155347,3.425286692,3.598949686,0.000493094,0.191204897,-0.235010235,GPT
236479_at,0.16354947,2.792977919,3.586402745,0.000514635,0.191216507,-0.271019181,SCN8A
221992_at,0.672751025,6.870076627,3.585783057,0.000515722,0.191216507,-0.272795193,NPIPB15
221992_at,0.672751025,6.870076627,3.585783057,0.000515722,0.191216507,-0.272795193,NPIPB6
205225_at,-2.258651671,9.005432344,-3.585373362,0.000516442,0.191216507,-0.273969241,ESR1
210651_s_at,0.148035057,2.777663367,3.584712309,0.000517605,0.191216507,-0.275863386,EPHB2
220083_x_at,0.436453268,3.56872265,3.574255116,0.000536337,0.196289856,-0.305791803,UCHL5
226073_at,-0.588658189,5.758688661,-3.570374516,0.00054345,0.196775799,-0.316881263,TMEM218
238360_s_at,0.789386094,2.840699005,3.566177228,0.000551244,0.198096066,-0.328865465,LASP1NB
216715_at,0.17417408,4.221660762,3.560557366,0.000561845,0.198096066,-0.344894742,EEF1DP5
208629_s_at,-0.389884293,6.837545663,-3.559367559,0.000564114,0.198096066,-0.348285921,HADHA
215760_s_at,0.319581957,3.397214965,3.558793337,0.000565212,0.198096066,-0.349922258,SBNO2
231782_s_at,0.253060626,2.487151261,3.553266056,0.000575886,0.19835507,-0.365662896,KLK4
226684_at,-0.708050304,6.687713395,-3.551628297,0.000579086,0.19835507,-0.37032336,ATG2B
218560_s_at,0.560413119,4.341640923,3.55092586,0.000580463,0.19835507,-0.372321741,JMJD4
217685_at,0.158094973,3.38557998,3.547640877,0.000586945,0.199324331,-0.381663293,CSNK1D
220162_s_at,0.632939893,3.52837695,3.545270167,0.000591665,0.199687062,-0.388400842,CARD9
213558_at,-0.770412693,5.393554057,-3.541820356,0.000598598,0.200787551,-0.398199088,PCLO
212723_at,0.534072729,7.971545501,3.534297758,0.000613984,0.204588954,-0.419539851,JMJD6
207827_x_at,0.211106329,5.936213108,3.531365599,0.000620081,0.204588954,-0.427848717,SNCA
1552733_at,-0.63220364,6.043851303,-3.528763149,0.00062554,0.204706752,-0.435218895,KLHDC1
202779_s_at,0.871152954,5.449575388,3.52712374,0.000629003,0.204706752,-0.439859605,UBE2S
202779_s_at,0.871152954,5.449575388,3.52712374,0.000629003,0.204706752,-0.439859605,UBE2SP2
202779_s_at,0.871152954,5.449575388,3.52712374,0.000629003,0.204706752,-0.439859605,UBE2SP1
202777_at,-0.628073204,6.936659064,-3.521354324,0.000641332,0.206430245,-0.456178158,SHOC2
232153_at,0.18816615,2.45054693,3.516489699,0.000651905,0.206430245,-0.469921738,SPEG
218204_s_at,-0.554437695,7.575814988,-3.516291624,0.000652339,0.206430245,-0.470481035,FYCO1
201710_at,0.783240836,5.906517222,3.516189267,0.000652564,0.206430245,-0.470770046,MYBL2
204689_at,-0.435213084,3.252363191,-3.515909799,0.000653177,0.206430245,-0.471559111,HHEX
212985_at,-0.887717764,6.900892545,-3.512214898,0.000661332,0.207806423,-0.481986988,APBB2
236596_at,0.2514623,2.823999148,3.499794822,0.000689454,0.212093611,-0.516978011,FAM193B-DT
220425_x_at,1.306892313,3.371481071,3.496444769,0.000697231,0.212093611,-0.526399886,ROPN1
220425_x_at,1.306892313,3.371481071,3.496444769,0.000697231,0.212093611,-0.526399886,ROPN1B
229004_at,-1.39289031,5.88030919,-3.496239383,0.00069771,0.212093611,-0.526977301,ADAMTS15
222597_at,-0.643800378,4.631515603,-3.49591475,0.000698469,0.212093611,-0.52788991,SNAP29
218769_s_at,-0.592429155,5.927619575,-3.494980315,0.000700656,0.212093611,-0.530516429,ANKRA2
211034_s_at,-0.529482346,7.630067649,-3.494300464,0.000702252,0.212093611,-0.532427026,HECTD4
205357_s_at,-1.771593091,4.833264528,-3.491202976,0.000709565,0.212093611,-0.541128348,AGTR1
201133_s_at,-0.515850536,7.643551394,-3.489137549,0.000714481,0.212093611,-0.54692717,PJA2
210094_s_at,0.66027493,7.187211487,3.488770622,0.000715358,0.212093611,-0.547957067,PARD3
225561_at,-0.623643121,7.232108065,-3.487814665,0.000717646,0.212093611,-0.550639874,SELENOT
214213_x_at,0.37579539,7.058187642,3.47495231,0.000749122,0.216111116,-0.586682118,LMNA
227873_at,-0.339446419,7.582092694,-3.473235864,0.00075342,0.216111116,-0.591484133,TXNDC15
201413_at,-0.607986845,9.771434825,-3.472834376,0.000754428,0.216111116,-0.592607092,HSD17B4
206081_at,-0.460203871,6.154408406,-3.472633856,0.000754932,0.216111116,-0.593167909,SLC24A1
235109_at,-0.573864788,4.160872421,-3.472522985,0.000755211,0.216111116,-0.593477984,ZBED3
201770_at,0.541063144,7.44963632,3.470056769,0.00076144,0.216111116,-0.600373321,SNRPA
213385_at,-0.882367185,3.487388129,-3.469496844,0.000762861,0.216111116,-0.601938299,CHN2
224753_at,0.606994689,5.282953958,3.465096435,0.000774116,0.217833008,-0.61423061,CDCA5
204750_s_at,1.046333176,5.833878054,3.45906798,0.000789789,0.219223255,-0.631051315,DSC2
212430_at,0.36834693,4.895957525,3.458743618,0.00079064,0.219223255,-0.631955719,RBM38
210978_s_at,0.632490642,5.028386083,3.457507206,0.000793895,0.219223255,-0.635402545,TAGLN2
1554376_s_at,0.249660347,3.052798269,3.446847542,0.000822481,0.225887086,-0.665079847,HACD1
219205_at,-0.459887262,3.808021959,-3.43983607,0.000841808,0.225887086,-0.684561809,SRR
210465_s_at,0.459726447,4.383567167,3.437893095,0.000847239,0.225887086,-0.689955113,SNAPC3
202483_s_at,0.511339878,8.901193604,3.435857431,0.000852965,0.225887086,-0.69560318,RANBP1
